member_id,member_name,city,credit_score,account_status,late_payment_count,missed_payment_count,total_amount_past_due,total_payments,delinquency_rate,risk_score,risk_tier
MBR-000058,Joshua Nguyen,North Richland Hills,655.0,Active,10,5,3597.59,35,28.6,24.3,Low Risk
MBR-000059,Sandra Roberts,Arlington,706.0,Active,5,2,184.92,18,27.8,9.5,Low Risk
MBR-000061,Jonathan Harris,North Richland Hills,641.0,Active,5,2,893.78,16,31.3,10.4,Low Risk
MBR-000063,Helen Baker,North Richland Hills,591.0,Active,8,1,700.34,33,24.2,10.9,Low Risk
MBR-000064,Brian Nguyen,Hurst,584.0,Active,10,4,2014.62,41,24.4,20.7,Low Risk
MBR-000066,Steven Baker,Weatherford,788.0,Active,4,1,1568.96,18,22.2,6.6,Low Risk
MBR-000067,Anna White,Haltom City,674.0,Active,7,2,2154.31,41,17.1,12.2,Low Risk
MBR-000069,Susan Baker,North Richland Hills,708.0,Active,10,4,1270.23,36,27.8,20.5,Low Risk
MBR-000072,Amanda Brown,Burleson,803.0,Active,15,5,2016.73,47,31.9,29.4,Moderate Risk
MBR-000074,Joseph Nelson,Weatherford,805.0,Active,7,3,3458.67,22,31.8,16.7,Low Risk
MBR-000075,George Allen,Denton,470.0,Active,15,1,1568.84,41,36.6,21.0,Low Risk
MBR-000077,Joseph Adams,Watauga,686.0,Active,23,7,10689.14,67,34.3,49.4,Moderate Risk
MBR-000078,Karen Baker,Dallas,656.0,Active,10,4,1108.52,31,32.3,20.8,Low Risk
MBR-000079,Edward Thompson,Arlington,687.0,Active,8,2,1347.88,25,32.0,14.3,Low Risk
MBR-000080,Kimberly Torres,Hurst,520.0,Active,9,0,0.0,26,34.6,10.5,Low Risk
MBR-000082,Karen Hernandez,Arlington,708.0,Active,12,5,2195.92,39,30.8,25.9,Moderate Risk
MBR-000083,Emma Young,Keller,798.0,Active,10,2,1094.96,35,28.6,16.1,Low Risk
MBR-000084,Daniel Rodriguez,Watauga,638.0,Active,5,1,488.86,26,19.2,6.8,Low Risk
MBR-000086,Ronald Martin,Mansfield,639.0,Active,11,3,2153.3,46,23.9,19.7,Low Risk
MBR-000088,Michelle Green,Weatherford,706.0,Active,10,3,10528.78,25,40.0,26.0,Moderate Risk
MBR-000089,Andrew Jones,Dallas,637.0,Active,3,1,80.02,12,25.0,4.7,Low Risk
MBR-000091,Scott Brown,Southlake,687.0,Active,16,3,15000.0,50,32.0,35.4,Moderate Risk
MBR-000093,Barbara Adams,Haltom City,623.0,Active,6,1,321.86,18,33.3,9.2,Low Risk
MBR-000094,Nicholas Roberts,Haltom City,653.0,Active,17,7,5568.25,42,40.5,39.4,Moderate Risk
MBR-000095,George Baker,Euless,648.0,Active,7,3,1163.6100000000001,28,25.0,14.4,Low Risk
MBR-000096,Jeffrey Robinson,Bedford,562.0,Active,8,2,6167.92,25,32.0,17.7,Low Risk
MBR-000097,Eric Davis,Dallas,703.0,Active,13,6,2885.57,35,37.1,30.3,Moderate Risk
MBR-000100,Jessica Brown,Hurst,661.0,Active,4,1,805.98,13,30.8,7.0,Low Risk
MBR-000101,James Flores,Mansfield,566.0,Active,12,1,544.46,36,33.3,16.4,Low Risk
MBR-000103,Cynthia Hall,Granbury,652.0,Active,10,5,4953.14,43,23.3,24.7,Low Risk
MBR-000104,Jacob Taylor,Cleburne,615.0,Active,6,1,298.47,17,35.3,9.4,Low Risk
MBR-000107,Elizabeth Nelson,Bedford,830.0,Active,16,10,4649.1,54,29.6,42.9,Moderate Risk
MBR-000108,Larry Williams,Weatherford,693.0,Active,3,0,0.0,14,21.4,2.1,Low Risk
MBR-000109,Nancy Young,Bedford,700.0,Active,13,5,7601.77,39,33.3,31.1,Moderate Risk
MBR-000110,Elizabeth Lewis,Euless,674.0,Active,6,4,20000.0,20,30.0,29.1,Moderate Risk
MBR-000111,Daniel White,Mansfield,526.0,Active,3,0,0.0,13,23.1,2.3,Low Risk
MBR-000112,Donna Sanchez,Haltom City,677.0,Active,21,5,10898.64,77,27.3,42.2,Moderate Risk
MBR-000113,Nancy Roberts,Hurst,684.0,Active,8,1,286.19,22,36.4,11.9,Low Risk
MBR-000114,Andrew Garcia,Cleburne,850.0,Active,31,4,3088.59,108,28.7,46.5,Moderate Risk
MBR-000115,Nicole Perez,Arlington,664.0,Active,7,4,10635.9,24,29.2,23.6,Low Risk
MBR-000117,Brian Sanchez,Grapevine,677.0,Active,25,8,4759.46,62,40.3,50.4,High Risk
MBR-000118,Christopher Lee,Southlake,586.0,Active,17,5,9190.949999999999,51,33.3,36.9,Moderate Risk
MBR-000119,Amanda Brown,Keller,771.0,Active,17,5,11311.83,45,37.8,38.9,Moderate Risk
MBR-000120,Michael Torres,Cleburne,740.0,Active,9,4,10694.04,27,33.3,26.4,Moderate Risk
MBR-000121,Melissa Perez,Grapevine,743.0,Active,13,4,8945.47,43,30.2,29.6,Moderate Risk
MBR-000122,Michelle Flores,Granbury,607.0,Active,6,2,787.76,25,24.0,10.8,Low Risk
MBR-000123,Joseph Clark,Keller,792.0,Active,14,3,954.57,29,48.3,24.9,Low Risk
MBR-000124,Shirley Green,Bedford,567.0,Active,10,6,2770.04,29,34.5,26.5,Moderate Risk
MBR-000125,Jacob Mitchell,Weatherford,726.0,Active,3,0,0.0,17,17.6,1.8,Low Risk
MBR-000127,Kimberly Jackson,Benbrook,600.0,Active,3,0,0.0,13,23.1,2.3,Low Risk
MBR-000128,Steven Mitchell,Cleburne,634.0,Active,17,5,3867.2400000000002,45,37.8,33.7,Moderate Risk
MBR-000129,Michael Miller,Southlake,687.0,Active,9,1,209.19,13,69.2,16.3,Low Risk
MBR-000131,Emily Williams,Keller,555.0,Active,10,1,759.47,43,23.3,13.2,Low Risk
MBR-000135,Emily White,Mansfield,606.0,Active,11,2,2019.79,38,28.9,18.0,Low Risk
MBR-000136,Margaret Carter,White Settlement,803.0,Active,8,3,10504.11,31,25.8,22.2,Low Risk
MBR-000137,Michelle King,Denton,617.0,Active,10,4,3217.0,30,33.3,22.4,Low Risk
MBR-000139,John Jackson,Granbury,745.0,Active,11,6,3794.36,28,39.3,28.8,Moderate Risk
MBR-000140,Brian Davis,Watauga,581.0,Active,14,4,6796.78,32,43.8,30.6,Moderate Risk
MBR-000141,Ryan Thompson,Burleson,698.0,Active,9,2,2897.78,20,45.0,17.9,Low Risk
MBR-000144,Brian Adams,Haltom City,694.0,Active,15,3,445.74,37,40.5,24.9,Low Risk
MBR-000145,Linda Scott,Hurst,700.0,Active,21,8,8027.45,55,38.2,47.7,Moderate Risk
MBR-000147,Jessica Mitchell,Mansfield,581.0,Active,10,3,10377.95,34,29.4,24.9,Low Risk
MBR-000149,Rebecca Jackson,Cleburne,721.0,Active,3,1,926.95,14,21.4,4.9,Low Risk
MBR-000150,Lisa Rodriguez,North Richland Hills,,Active,3,3,1345.17,15,20.0,9.4,Low Risk
MBR-000151,David Rivera,Fort Worth,,Active,8,4,2640.9300000000003,21,38.1,20.1,Low Risk
MBR-000152,Andrew Johnson,Hurst,707.0,Active,18,6,7222.49,48,37.5,39.3,Moderate Risk
MBR-000154,Sharon Adams,Benbrook,698.0,Active,13,6,4695.200000000001,37,35.1,31.4,Moderate Risk
MBR-000155,Anna Torres,Arlington,703.0,Active,17,6,14099.14,73,23.3,41.5,Moderate Risk
MBR-000156,Deborah Baker,Southlake,622.0,Active,20,5,16490.94,65,30.8,45.3,Moderate Risk
MBR-000157,Scott Sanchez,Fort Worth,829.0,Active,6,2,565.92,16,37.5,12.0,Low Risk
MBR-000158,Ashley Rivera,Dallas,717.0,Active,16,3,2170.39,49,32.7,26.5,Moderate Risk
MBR-000159,Nancy Ramirez,Watauga,584.0,Active,9,3,2061.84,46,19.6,16.9,Low Risk
MBR-000160,William Campbell,Mansfield,732.0,Active,5,1,1351.06,25,20.0,7.4,Low Risk
MBR-000161,George Taylor,North Richland Hills,602.0,Active,7,0,0.0,48,14.6,6.2,Low Risk
MBR-000162,Scott Rodriguez,Southlake,742.0,Active,12,7,2917.84,43,27.9,30.4,Moderate Risk
MBR-000164,David Clark,Weatherford,614.0,Active,17,8,21155.25,37,45.9,53.0,High Risk
MBR-000165,Rebecca Wright,Grapevine,757.0,Active,5,2,852.04,25,20.0,9.2,Low Risk
MBR-000166,Kevin Ramirez,Fort Worth,713.0,Active,8,4,2221.64,39,20.5,18.1,Low Risk
MBR-000168,Joseph Johnson,Denton,831.0,Active,7,2,1697.82,32,21.9,12.4,Low Risk
MBR-000170,Nancy White,Cleburne,619.0,Active,11,3,3040.32,38,28.9,20.9,Low Risk
MBR-000171,Joshua Flores,Dallas,608.0,Active,17,8,11326.359999999999,41,41.5,45.7,Moderate Risk
MBR-000172,Gary Green,Granbury,,Active,6,3,1182.1200000000001,17,35.3,14.3,Low Risk
MBR-000174,Lisa Roberts,Benbrook,707.0,Active,6,1,1779.63,29,20.7,9.0,Low Risk
MBR-000175,Jeffrey Wright,Hurst,702.0,Active,15,4,11575.26,60,25.0,33.3,Moderate Risk
MBR-000177,Emily Jackson,Burleson,681.0,Active,19,4,2002.42,40,47.5,33.5,Moderate Risk
MBR-000178,Ashley Carter,North Richland Hills,796.0,Active,10,4,3599.69,27,37.0,23.0,Low Risk
MBR-000180,Amy Moore,Keller,850.0,Active,6,3,814.4100000000001,25,24.0,12.9,Low Risk
MBR-000182,Lisa Brown,Keller,611.0,Active,8,1,247.53,24,33.3,11.5,Low Risk
MBR-000184,Charles Jones,Benbrook,718.0,Active,8,3,5204.46,17,47.1,20.7,Low Risk
MBR-000186,Patricia Nelson,Cleburne,737.0,Active,9,2,391.66,22,40.9,15.7,Low Risk
MBR-000187,Scott Jones,Fort Worth,717.0,Active,5,1,5000.0,12,41.7,12.2,Low Risk
MBR-000188,Dorothy Wilson,Arlington,674.0,Active,3,3,15000.0,13,23.1,19.2,Low Risk
MBR-000192,Lisa White,Burleson,748.0,Active,4,1,2743.57,26,15.4,6.8,Low Risk
MBR-000193,John Scott,Hurst,697.0,Active,6,1,1361.9,23,26.1,9.2,Low Risk
MBR-000194,Jennifer Sanchez,Euless,580.0,Active,6,1,195.84,18,33.3,9.1,Low Risk
MBR-000195,Emma Young,Watauga,,Active,9,4,1455.82,54,16.7,18.3,Low Risk
MBR-000197,Edward Hall,Euless,609.0,Active,11,4,3362.98,29,37.9,24.1,Low Risk
MBR-000198,Kenneth Sanchez,Southlake,692.0,Active,4,3,1089.79,25,16.0,10.0,Low Risk
MBR-000199,Anthony Lewis,Euless,684.0,Active,7,2,1083.82,19,36.8,13.4,Low Risk
MBR-000200,Amanda Sanchez,Arlington,588.0,Active,3,0,0.0,8,37.5,3.8,Low Risk
MBR-000201,Linda Roberts,Weatherford,708.0,Active,7,2,10000.0,30,23.3,18.3,Low Risk
MBR-000202,Thomas Garcia,Denton,724.0,Active,7,2,824.04,20,35.0,13.1,Low Risk
MBR-000203,Kimberly Lewis,Arlington,766.0,Active,13,6,3066.04,37,35.1,30.3,Moderate Risk
MBR-000205,Scott Anderson,Burleson,569.0,Active,3,0,0.0,7,42.9,4.3,Low Risk
MBR-000206,Linda Carter,Benbrook,604.0,Active,8,2,534.6,19,42.1,14.8,Low Risk
MBR-000208,Brandon Gonzalez,Southlake,721.0,Active,3,1,5000.0,13,23.1,7.9,Low Risk
MBR-000210,Amanda Anderson,Granbury,850.0,Active,16,3,1586.8,42,38.1,26.6,Moderate Risk
MBR-000212,Kevin Lewis,Burleson,770.0,Active,19,4,3308.7599999999998,53,35.8,33.3,Moderate Risk
MBR-000213,Timothy Thompson,Bedford,756.0,Active,3,2,101.82,16,18.8,6.2,Low Risk
MBR-000214,Timothy Hernandez,Watauga,732.0,Active,5,4,1508.3600000000001,24,20.8,14.1,Low Risk
MBR-000215,Matthew Clark,Watauga,654.0,Active,10,4,15319.49,19,52.6,32.8,Moderate Risk
MBR-000216,Scott Walker,Denton,740.0,Active,15,5,15837.71,50,30.0,38.9,Moderate Risk
MBR-000217,Nancy White,Grapevine,618.0,Active,18,8,17419.88,51,35.3,50.5,High Risk
MBR-000218,Anna Clark,Mansfield,661.0,Active,17,3,1988.7800000000002,74,23.0,26.6,Moderate Risk
MBR-000220,Sharon Gonzalez,Weatherford,686.0,Active,12,4,2823.68,38,31.6,24.3,Low Risk
MBR-000223,Jacob Moore,Fort Worth,734.0,Active,16,4,3961.96,53,30.2,29.7,Moderate Risk
MBR-000226,Nicholas Sanchez,Denton,767.0,Active,6,2,3429.24,16,37.5,14.0,Low Risk
MBR-000227,Barbara Jackson,Bedford,685.0,Active,3,1,567.56,8,37.5,6.3,Low Risk
MBR-000228,Mary Walker,Granbury,593.0,Active,9,2,1119.22,26,34.6,15.6,Low Risk
MBR-000229,Joshua Baker,White Settlement,622.0,Active,5,3,1973.0099999999998,19,26.3,12.8,Low Risk
MBR-000230,Michelle Moore,Keller,734.0,Active,24,9,2582.91,62,38.7,49.7,Moderate Risk
MBR-000231,Deborah Mitchell,Benbrook,621.0,Active,12,3,4462.32,58,20.7,22.2,Low Risk
MBR-000234,Timothy King,Hurst,627.0,Active,8,3,1718.71,27,29.6,16.5,Low Risk
MBR-000235,William Young,Granbury,850.0,Active,5,2,978.58,18,27.8,10.1,Low Risk
MBR-000236,Sharon Green,Bedford,730.0,Active,12,5,15878.58,66,18.2,34.2,Moderate Risk
MBR-000237,James Green,Mansfield,517.0,Active,10,4,9622.19,31,32.3,26.8,Moderate Risk
MBR-000240,Robert Brown,Hurst,748.0,Active,12,5,4972.14,43,27.9,27.6,Moderate Risk
MBR-000241,Sarah Clark,Haltom City,616.0,Active,12,3,1385.78,42,28.6,20.8,Low Risk
MBR-000242,Christopher Williams,North Richland Hills,670.0,Active,18,7,3329.48,52,34.6,38.4,Moderate Risk
MBR-000243,Angela Jones,Burleson,720.0,Active,8,2,2130.01,21,38.1,15.5,Low Risk
MBR-000244,Joseph Miller,Fort Worth,749.0,Active,11,4,2445.83,36,30.6,22.8,Low Risk
MBR-000245,Stephanie Robinson,Bedford,583.0,Active,6,0,0.0,27,22.2,5.7,Low Risk
MBR-000247,Jeffrey Williams,Burleson,642.0,Active,7,3,10366.12,21,33.3,21.7,Low Risk
MBR-000248,Deborah Martinez,White Settlement,627.0,Active,8,3,3527.79,27,29.6,17.7,Low Risk
MBR-000249,Mark Scott,Bedford,821.0,Active,18,4,2161.35,40,45.0,32.2,Moderate Risk
MBR-000250,Susan Sanchez,Arlington,712.0,Active,5,2,1803.54,18,27.8,10.7,Low Risk
MBR-000251,Ryan Perez,White Settlement,579.0,Active,4,0,0.0,14,28.6,4.0,Low Risk
MBR-000252,Eric White,Arlington,753.0,Active,18,3,3137.81,40,45.0,30.8,Moderate Risk
MBR-000253,Carol Miller,Arlington,,Active,8,5,14804.82,27,29.6,29.9,Moderate Risk
MBR-000254,Sharon Nguyen,Haltom City,762.0,Active,17,6,7159.6,55,30.9,37.4,Moderate Risk
MBR-000255,Nicole Hall,Burleson,558.0,Active,6,4,3054.6,13,46.2,18.9,Low Risk
MBR-000256,Stephen Green,Cleburne,641.0,Active,11,4,7898.63,33,33.3,26.8,Moderate Risk
MBR-000257,Joseph Carter,Watauga,781.0,Active,16,6,4842.18,73,21.9,33.7,Moderate Risk
MBR-000258,Betty Moore,Keller,623.0,Active,12,4,3748.2799999999997,54,22.2,24.0,Low Risk
MBR-000259,Mark Mitchell,Watauga,715.0,Active,4,2,590.6,18,22.2,8.1,Low Risk
MBR-000260,Steven Gonzalez,Euless,741.0,Active,11,6,7181.28,38,28.9,30.2,Moderate Risk
MBR-000262,Michelle Hill,White Settlement,675.0,Active,14,4,1352.53,39,35.9,26.0,Moderate Risk
MBR-000263,Anna Wright,Dallas,420.0,Active,10,3,3744.5200000000004,36,27.8,20.1,Low Risk
MBR-000264,Mary Davis,Euless,598.0,Active,3,3,678.48,7,42.9,11.2,Low Risk
MBR-000265,Melissa Allen,Euless,659.0,Active,16,4,11455.84,41,39.0,35.8,Moderate Risk
MBR-000266,Margaret Baker,Denton,580.0,Active,9,5,25000.0,22,40.9,39.3,Moderate Risk
MBR-000267,Brenda Jones,Mansfield,810.0,Active,5,2,609.06,23,21.7,9.2,Low Risk
MBR-000268,Justin Williams,Grapevine,565.0,Active,8,4,3818.9800000000005,20,40.0,21.1,Low Risk
MBR-000269,Mark Rodriguez,Watauga,644.0,Active,5,3,809.97,10,50.0,14.3,Low Risk
MBR-000270,Stephen Garcia,Cleburne,690.0,Active,7,3,4791.63,27,25.9,17.1,Low Risk
MBR-000271,Larry Brown,Euless,795.0,Active,6,3,226.68,15,40.0,14.1,Low Risk
MBR-000272,Andrew Flores,Cleburne,565.0,Active,22,6,4333.8,41,53.7,43.6,Moderate Risk
MBR-000275,John Scott,Watauga,601.0,Active,24,6,5358.5,84,28.6,44.2,Moderate Risk
MBR-000276,Ronald White,Fort Worth,716.0,Active,5,2,1390.3999999999999,22,22.7,9.9,Low Risk
MBR-000277,Amanda Williams,North Richland Hills,695.0,Active,22,7,5898.32,56,39.3,45.4,Moderate Risk
MBR-000278,Michelle Miller,Burleson,631.0,Active,24,11,5799.62,65,36.9,56.0,High Risk
MBR-000279,Amanda Thompson,North Richland Hills,685.0,Active,13,4,5090.75,57,22.8,26.2,Moderate Risk
MBR-000280,Sandra Clark,Denton,649.0,Active,21,7,22620.03,62,33.9,55.4,High Risk
MBR-000282,Kathleen Hernandez,Hurst,732.0,Active,7,4,3768.5,34,20.6,18.0,Low Risk
MBR-000284,Barbara Walker,White Settlement,580.0,Active,6,5,3182.9,12,50.0,21.5,Low Risk
MBR-000285,Emma Mitchell,Denton,850.0,Active,4,2,10000.0,11,36.4,16.1,Low Risk
MBR-000286,James Torres,Denton,523.0,Active,8,2,5688.64,30,26.7,16.8,Low Risk
MBR-000287,Brandon Moore,Cleburne,667.0,Active,6,1,245.99,30,20.0,7.8,Low Risk
MBR-000288,Jessica Mitchell,Euless,727.0,Active,7,4,1852.6,19,36.8,18.3,Low Risk
MBR-000289,James Garcia,North Richland Hills,702.0,Active,9,5,2559.68,37,24.3,22.0,Low Risk
MBR-000290,Scott Brown,North Richland Hills,630.0,Active,26,8,10502.74,52,50.0,56.5,High Risk
MBR-000292,Brian Thompson,Mansfield,640.0,Active,3,1,317.59,7,42.9,6.7,Low Risk
MBR-000293,Steven Wright,Burleson,632.0,Active,17,8,3758.43,54,31.5,39.4,Moderate Risk
MBR-000295,Stephanie Baker,Dallas,708.0,Active,3,0,0.0,9,33.3,3.3,Low Risk
MBR-000296,Donald Mitchell,Burleson,624.0,Active,13,4,818.9,58,22.4,23.1,Low Risk
MBR-000297,Anna Williams,Grapevine,751.0,Active,18,8,28640.28,49,36.7,58.5,High Risk
MBR-000298,Kathleen Wright,Haltom City,704.0,Active,8,4,12235.74,29,27.6,25.8,Moderate Risk
MBR-000300,Nancy Torres,Benbrook,730.0,Active,4,2,785.94,15,26.7,8.7,Low Risk
MBR-000301,Mary Lopez,North Richland Hills,613.0,Active,8,2,328.18,25,32.0,13.6,Low Risk
MBR-000302,Jacob Green,Euless,635.0,Active,15,3,595.6800000000001,53,28.3,23.8,Low Risk
MBR-000303,Jonathan Lopez,Grapevine,739.0,Active,3,1,463.17,12,25.0,5.0,Low Risk
MBR-000306,Richard Jones,Watauga,689.0,Active,4,1,214.98,19,21.1,5.6,Low Risk
MBR-000307,Jeffrey Green,Weatherford,782.0,Active,5,2,333.62,18,27.8,9.7,Low Risk
MBR-000308,Anna Lopez,White Settlement,632.0,Active,6,3,2529.2200000000003,24,25.0,14.2,Low Risk
MBR-000310,Emily Hill,Fort Worth,663.0,Active,8,1,4058.15,22,36.4,14.5,Low Risk
MBR-000312,Matthew Lee,Weatherford,767.0,Active,10,3,1369.8600000000001,41,24.4,18.1,Low Risk
MBR-000313,Rebecca Martin,Grapevine,746.0,Active,13,5,3690.4,30,43.3,29.4,Moderate Risk
MBR-000314,Steven Harris,Denton,745.0,Active,3,0,0.0,20,15.0,1.5,Low Risk
MBR-000318,Brian Lewis,Fort Worth,655.0,Active,10,4,2728.06,32,31.3,21.8,Low Risk
MBR-000320,Helen White,Mansfield,669.0,Active,14,4,3021.07,48,29.2,26.5,Moderate Risk
MBR-000321,David Williams,Granbury,687.0,Active,3,0,0.0,11,27.3,2.7,Low Risk
MBR-000323,Melissa Rivera,White Settlement,614.0,Active,3,1,1221.29,14,21.4,5.1,Low Risk
MBR-000324,Ashley Torres,Granbury,847.0,Active,8,5,3285.03,41,19.5,20.8,Low Risk
MBR-000325,Stephen Sanchez,Southlake,599.0,Active,6,2,1567.94,20,30.0,11.9,Low Risk
MBR-000327,Joshua Smith,Mansfield,772.0,Active,8,1,187.19,30,26.7,10.8,Low Risk
MBR-000329,Pamela Miller,Keller,729.0,Active,22,8,7521.71,85,25.9,47.3,Moderate Risk
MBR-000331,Scott Torres,Dallas,679.0,Active,17,10,24046.3,53,32.1,57.9,High Risk
MBR-000333,Pamela Garcia,Hurst,686.0,Active,5,2,265.18,11,45.5,11.4,Low Risk
MBR-000335,Joseph Martin,North Richland Hills,758.0,Active,3,1,5000.0,18,16.7,7.3,Low Risk
MBR-000337,Susan Johnson,Bedford,613.0,Active,4,2,744.2,22,18.2,7.8,Low Risk
MBR-000338,Ashley King,Southlake,654.0,Active,10,3,2766.9700000000003,35,28.6,19.5,Low Risk
MBR-000339,Steven Harris,Watauga,713.0,Active,12,2,773.68,42,28.6,18.3,Low Risk
MBR-000341,Shirley Rodriguez,Weatherford,614.0,Active,5,1,5000.0,13,38.5,11.8,Low Risk
MBR-000342,Edward Clark,Euless,699.0,Active,13,7,13158.48,50,26.0,38.6,Moderate Risk
MBR-000343,Sandra Anderson,Grapevine,699.0,Active,7,2,1931.44,23,30.4,13.4,Low Risk
MBR-000344,Mark Williams,Fort Worth,639.0,Active,16,4,15766.1,48,33.3,38.2,Moderate Risk
MBR-000345,Ryan Thomas,Bedford,642.0,Active,16,4,1586.02,54,29.6,27.9,Moderate Risk
MBR-000347,Andrew Robinson,Hurst,564.0,Active,4,1,809.88,21,19.0,5.8,Low Risk
MBR-000348,Anna Rodriguez,Hurst,567.0,Active,17,8,12066.77,44,38.6,45.9,Moderate Risk
MBR-000350,Karen Hernandez,Granbury,662.0,Active,12,6,2345.04,36,33.3,28.4,Moderate Risk
MBR-000351,Steven Smith,North Richland Hills,704.0,Active,9,3,3054.24,32,28.1,18.4,Low Risk
MBR-000352,Stephen Moore,Watauga,798.0,Active,3,1,138.58,9,33.3,5.6,Low Risk
MBR-000355,Shirley Garcia,White Settlement,678.0,Active,13,5,5735.82,47,27.7,29.3,Moderate Risk
MBR-000356,Amy Young,White Settlement,599.0,Active,19,7,16645.03,53,35.8,49.0,Moderate Risk
MBR-000357,Kevin Thompson,Cleburne,678.0,Active,6,1,826.21,24,25.0,8.7,Low Risk
MBR-000358,Brandon Johnson,Cleburne,656.0,Active,8,1,254.01,19,42.1,12.4,Low Risk
MBR-000359,Edward Mitchell,Haltom City,705.0,Active,12,8,5752.82,29,41.4,35.9,Moderate Risk
MBR-000361,Donald White,Keller,721.0,Active,12,5,1922.31,39,30.8,25.7,Moderate Risk
MBR-000362,Matthew Perez,Haltom City,802.0,Active,12,3,7822.34,30,40.0,26.5,Moderate Risk
MBR-000363,Eric Davis,Keller,671.0,Active,6,2,1045.82,23,26.1,11.2,Low Risk
MBR-000364,Anthony Lee,Cleburne,712.0,Active,18,5,13030.95,51,35.3,41.0,Moderate Risk
MBR-000368,Dorothy White,Granbury,681.0,Active,4,1,487.79,10,40.0,7.7,Low Risk
