member_id,first_name,last_name,join_date,city,state,credit_score,email,phone,account_status
MBR-000116,Joshua,Walker,06/30/2015,Bedford,TX,704.0,joshua.walker305@gmail.com,(817)261-8202,Closed
MBR-000117,Brian,Sanchez,12/07/2012,Grapevine,TX,677.0,brian.sanchez528@gmail.com,(214)347-8642,Active
MBR-000118,Christopher,Lee,12/16/2022,Southlake,TX,586.0,,(972)627-8648,Active
MBR-000119,AMANDA,Brown,02/19/2011,Keller,TX,771.0,amanda.brown507@gmail.com,(972)392-9793,Active
MBR-000120,Michael,Torres,08/08/2022,Cleburne,TX,740.0,michael.torres372@gmail.com,(817)495-9261,Active
MBR-000121,Melissa,Perez,07/06/2022,Grapevine,TX,743.0,melissa.perez774@yahoo.com,(972)612-1659,Active
MBR-000122,Michelle,Flores,02/22/2017,Granbury,TX,607.0,michelle.flores403@gmail.com,(214)707-6511,Active
MBR-000123,Joseph,Clark,02/03/2023,Keller,TX,792.0,joseph.clark816@gmail.com,(817)711-8775,Active
MBR-000124,Shirley,Green,11/25/2023,Bedford,TX,567.0,shirley.green152@gmail.com,(682)132-2800,Active
MBR-000125,Jacob,Mitchell,05/26/2011,Weatherford,TX,726.0,jacob.mitchell532@yahoo.com,(214)778-8837,Active
MBR-000126,Dorothy,Flores,11/10/2020,Cleburne,TX,850.0,dorothy.flores981@yahoo.com,(214)330-5876,Inactive
MBR-000127,Kimberly,Jackson,09/25/2012,Benbrook,TX,600.0,kimberly.jackson693@gmail.com,(972)938-6654,Active
MBR-000128,Steven,Mitchell,09/29/2020,Cleburne,TX,634.0,steven.mitchell207@gmail.com,(214)675-5450,Active
MBR-000129,Michael,Miller,04/09/2019,Southlake,TX,687.0,michael.miller735@gmail.com,(682)105-3587,Active
MBR-000130,Linda,Roberts,01/03/2012,Benbrook,TX,639.0,linda.roberts238@gmail.com,(817)279-7846,Inactive
MBR-000131,Emily,Williams,03/17/2010,Keller,TX,555.0,emily.williams582@gmail.com,(214)391-8444,Active
MBR-000132,Joseph,Perez,08/24/2013,Euless,TX,685.0,joseph.perez664@yahoo.com,(682)114-6523,Inactive
MBR-000133,Angela,  Lee,12/12/2011,Bedford,TX,595.0,angela.lee686@yahoo.com,(682)588-6301,Active
MBR-000134,Pamela,Smith,11/13/2015,Grapevine,TX,717.0,pamela.smith710@yahoo.com,(817)576-6026,Active
MBR-000135,Emily,White,10/15/2023,Mansfield,TX,606.0,emily.white225@gmail.com,(972)256-8454,Active
MBR-000136,Margaret,Carter,07/21/2015,White Settlement,TX,803.0,margaret.carter895@gmail.com,(972)640-6927,Active
MBR-000137,Michelle,King,11/29/2019,Denton,TX,617.0,michelle.king697@yahoo.com,(972)193-9361,Active
MBR-000138,Donna,Campbell,06/28/2010,Bedford,TX,654.0,donna.campbell261@gmail.com,(682)692-2196,Inactive
MBR-000139,John,Jackson,03/04/2019,Granbury,TX,745.0,john.jackson788@yahoo.com,(972)483-7266,Active
MBR-000140,Brian,Davis,01/02/2014,Watauga,TX,581.0,brian.davis403@gmail.com,(682)954-1056,Active
MBR-000141,Ryan,Thompson,06/24/2013,Burleson,TX,698.0,ryan.thompson194@gmail.com,(817)132-7868,Active
MBR-000142,Michael,Thomas,12/29/2010,Bedford,TX,784.0,michael.thomas450@yahoo.com,(682)872-1924,Active
MBR-000143,Michelle,Thomas,10/08/2016,Weatherford,TX,551.0,michelle.thomas677@gmail.com,(972)407-5508,Active
MBR-000144,Brian,Adams,07/20/2018,Haltom City,TX,694.0,brian.adams327@gmail.com,(972)252-5913,Active
MBR-000145,Linda,Scott,04/04/2019,Hurst,TX,700.0,linda.scott571@gmail.com,(972)348-5177,Active
MBR-000146,Paul,Harris,07/27/2023,White Settlement,TX,,paul.harris41@gmail.com,(682)923-4555,Closed
MBR-000147,Jessica,Mitchell,09/28/2020,Mansfield,TX,581.0,jessica.mitchell713@gmail.com,(682)506-4921,Active
MBR-000148,Amy,Robinson,03/18/2012,North Richland Hills,TX,574.0,amy.robinson780@gmail.com,(682)479-6126,Active
MBR-000149,Rebecca,Jackson,06/02/2013,Cleburne,TX,721.0,rebecca.jackson338@yahoo.com,(682)611-6530,Active
MBR-000150,Lisa,Rodriguez,04/05/2022,North Richland Hills,TX,,lisa.rodriguez189@gmail.com,(817)636-1554,Active
MBR-000151,David,  Rivera,05/22/2013,Fort Worth,TX,,david.rivera224@gmail.com,(214)161-8916,Active
MBR-000152,Andrew,Johnson,04/07/2021,Hurst,TX,707.0,andrew.johnson826@gmail.com,(682)209-2578,Active
MBR-000153,Stephanie,Robinson,09/03/2022,Mansfield,TX,,stephanie.robinson714@yahoo.com,(817)769-1519,Active
MBR-000154,Sharon,Adams,06/06/2017,Benbrook,TX,698.0,sharon.adams879@gmail.com,(817)335-4463,Active
MBR-000155,Anna,Torres,10/05/2024,Arlington,TX,703.0,anna.torres184@gmail.com,(214)116-4394,Active
MBR-000156,Deborah,Baker,02/15/2022,Southlake,TX,622.0,deborah.baker394@gmail.com,(682)909-2284,Active
MBR-000157,Scott,Sanchez,04/27/2017,Fort Worth,TX,829.0,scott.sanchez650@yahoo.com,(972)602-4737,Active
MBR-000158,Ashley,Rivera,08/26/2011,Dallas,TX,717.0,,(682)857-7383,Active
MBR-000159,Nancy,Ramirez,01/25/2020,Watauga,TX,584.0,nancy.ramirez569@gmail.com,(817)126-2468,Active
MBR-000160,William,Campbell,07/20/2022,Mansfield,TX,732.0,william.campbell586@gmail.com,(972)273-3274,Active
MBR-000161,George,Taylor,07/14/2015,North Richland Hills,TX,602.0,george.taylor609@gmail.com,(972)209-3219,Active
MBR-000162,Scott,Rodriguez,09/27/2016,Southlake,TX,742.0,scott.rodriguez618@gmail.com,(682)590-6147,Active
MBR-000163,Michelle,Harris,04/15/2016,Bedford,TX,772.0,,(682)706-9939,Active
MBR-000164,David,Clark,03/14/2021,Weatherford,TX,614.0,david.clark649@yahoo.com,(214)774-3525,Active
MBR-000165,Rebecca,Wright,10/29/2010,Grapevine,TX,757.0,rebecca.wright719@gmail.com,(817)211-5067,Active
MBR-000166,Kevin,Ramirez,05/17/2012,Fort Worth,TX,713.0,kevin.ramirez101@yahoo.com,(682)556-7129,Active
MBR-000167,Rebecca,Garcia,08/08/2012,Weatherford,TX,745.0,rebecca.garcia357@yahoo.com,(972)903-4389,Active
MBR-000168,Joseph,Johnson,09/11/2017,Denton,TX,831.0,joseph.johnson694@gmail.com,(682)628-3858,Active
MBR-000169,Sharon,Sanchez,08/28/2010,White Settlement,TX,660.0,sharon.sanchez905@yahoo.com,(972)498-1072,Inactive
MBR-000170,Nancy,White,04/24/2017,Cleburne,TX,619.0,nancy.white469@yahoo.com,(972)640-6134,Active
MBR-000171,Joshua,Flores,03/28/2023,Dallas,TX,608.0,joshua.flores689@yahoo.com,(817)344-6003,Active
MBR-000172,Gary,Green,01/20/2022,Granbury,TX,,gary.green569@yahoo.com,(214)243-4065,Active
MBR-000173,Brenda,Allen,08/24/2024,North Richland Hills,TX,673.0,,(972)827-8272,Active
MBR-000174,Lisa,Roberts,04/04/2020,Benbrook,TX,707.0,lisa.roberts761@gmail.com,(972)662-9369,Active
MBR-000175,Jeffrey,Wright,11/26/2014,Hurst,TX,702.0,jeffrey.wright105@gmail.com,(682)404-1528,Active
MBR-000176,Emma,Hall,11/12/2017,White Settlement,TX,746.0,emma.hall648@gmail.com,(682)903-4385,Closed
MBR-000177,Emily,Jackson,11/05/2022,Burleson,TX,681.0,emily.jackson976@gmail.com,(817)238-7743,Active
MBR-000178,Ashley,Carter,10/23/2018,North Richland Hills,TX,796.0,ashley.carter146@gmail.com,(214)742-7786,Active
MBR-000179,Melissa,Robinson,12/12/2020,Southlake,TX,658.0,melissa.robinson596@yahoo.com,(817)848-8511,Inactive
MBR-000180,Amy,Moore,03/29/2017,Keller,TX,850.0,amy.moore346@gmail.com,(682)679-8951,Active
MBR-000181,Christopher,Lewis,03/28/2020,Fort Worth,TX,730.0,christopher.lewis982@gmail.com,(682)765-5945,Inactive
MBR-000182,Lisa,  Brown,11/21/2018,Keller,TX,611.0,lisa.brown744@gmail.com,(682)539-2494,Active
MBR-000183,Carol,Davis,06/22/2019,Weatherford,TX,594.0,carol.davis490@yahoo.com,(972)191-2678,Active
MBR-000184,Charles,Jones,11/24/2021,Benbrook,TX,718.0,charles.jones9@gmail.com,(682)550-6753,Active
MBR-000185,Richard,Rodriguez,10/05/2012,Benbrook,TX,662.0,richard.rodriguez748@yahoo.com,(972)422-3290,Closed
MBR-000186,Patricia,Nelson,10/07/2016,Cleburne,TX,737.0,patricia.nelson531@gmail.com,(682)865-7418,Active
MBR-000187,Scott,Jones,11/06/2021,Fort Worth,TX,717.0,scott.jones370@gmail.com,(682)496-7895,Active
MBR-000188,Dorothy,Wilson,11/23/2010,Arlington,TX,674.0,dorothy.wilson972@gmail.com,(214)743-9209,Active
MBR-000189,William,Allen,07/23/2014,Weatherford,TX,612.0,william.allen550@yahoo.com,(817)417-8167,Active
MBR-000190,Donna,Nelson,10/04/2024,Granbury,TX,558.0,donna.nelson123@yahoo.com,(682)818-1185,Active
MBR-000191,Paul,Campbell,08/25/2012,Fort Worth,TX,644.0,paul.campbell344@gmail.com,(214)636-2046,Inactive
MBR-000192,LISA,White,07/12/2013,Burleson,TX,748.0,,(817)333-9336,Active
MBR-000193,John,Scott,09/15/2024,Hurst,TX,697.0,john.scott230@yahoo.com,(972)837-6241,Active
MBR-000194,Jennifer,  Sanchez,07/19/2011,Euless,TX,580.0,jennifer.sanchez887@yahoo.com,(214)435-2415,Active
MBR-000195,EMMA,Young,05/20/2014,Watauga,TX,,emma.young779@gmail.com,(682)106-7718,Active
MBR-000196,Timothy,Mitchell,11/24/2016,Denton,TX,710.0,timothy.mitchell211@gmail.com,(682)529-9061,Inactive
MBR-000197,Edward,Hall,05/10/2018,Euless,TX,609.0,edward.hall998@gmail.com,(817)617-3187,Active
MBR-000198,Kenneth,Sanchez,04/26/2017,Southlake,TX,692.0,kenneth.sanchez464@yahoo.com,(817)307-3230,Active
MBR-000199,Anthony,Lewis,11/30/2016,Euless,TX,684.0,,(817)261-5984,Active
MBR-000200,Amanda,Sanchez,07/08/2021,Arlington,TX,588.0,amanda.sanchez694@yahoo.com,(682)131-7625,Active
MBR-000201,Linda,Roberts,12/26/2014,Weatherford,TX,708.0,linda.roberts203@gmail.com,N/A,Active
MBR-000202,Thomas,Garcia,06/09/2017,Denton,TX,724.0,,(817)272-8096,Active
MBR-000203,Kimberly,Lewis,05/02/2013,Arlington,TX,766.0,kimberly.lewis629@gmail.com,(682)762-5835,Active
MBR-000204,Shirley,Thomas,02/24/2024,Watauga,TX,764.0,shirley.thomas814@yahoo.com,(972)900-6883,Active
MBR-000205,Scott,Anderson,08/29/2010,Burleson,TX,569.0,scott.anderson60@gmail.com,(972)642-6856,Active
MBR-000206,Linda,Carter,12/03/2014,Benbrook,TX,604.0,linda.carter867@gmail.com,(972)463-3846,Active
MBR-000207,Larry,Torres,03/10/2013,Benbrook,TX,,larry.torres972@yahoo.com,(972)655-6063,Active
MBR-000208,Brandon,Gonzalez,12/04/2012,Southlake,TX,721.0,brandon.gonzalez735@yahoo.com,(214)160-1359,Active
MBR-000209,Ronald,Nguyen,04/07/2012,Southlake,TX,721.0,ronald.nguyen310@yahoo.com,(682)849-8157,Inactive
MBR-000210,Amanda,Anderson,03/18/2023,Granbury,TX,850.0,amanda.anderson388@yahoo.com,(214)230-3911,Active
MBR-000211,Nicole,Lee,09/18/2023,Mansfield,TX,725.0,nicole.lee655@gmail.com,(972)244-6425,Active
MBR-000212,Kevin,Lewis,04/04/2010,Burleson,TX,770.0,,(817)458-5205,Active
MBR-000213,Timothy,Thompson,04/01/2022,Bedford,TX,756.0,timothy.thompson104@gmail.com,(682)266-8393,Active
MBR-000214,Timothy,Hernandez,09/07/2011,Watauga,TX,732.0,timothy.hernandez965@gmail.com,(817)446-8909,Active
MBR-000215,Matthew,Clark,06/06/2022,Watauga,TX,654.0,matthew.clark272@gmail.com,(214)343-2571,Active
MBR-000216,Scott,Walker,06/24/2014,Denton,TX,740.0,scott.walker27@yahoo.com,(214)183-8758,Active
MBR-000217,Nancy,White,07/22/2018,Grapevine,TX,618.0,nancy.white192@gmail.com,(214)550-8619,Active
MBR-000218,Anna,Clark,03/25/2023,Mansfield,TX,661.0,anna.clark567@yahoo.com,(972)938-9561,Active
MBR-000219,John,Allen,10/24/2022,Haltom City,TX,641.0,john.allen820@gmail.com,(682)223-8357,Closed
MBR-000220,Sharon,Gonzalez,01/26/2024,Weatherford,TX,686.0,sharon.gonzalez855@gmail.com,(214)844-2097,Active
MBR-000221,Helen,Nguyen,09/20/2021,Hurst,TX,850.0,helen.nguyen116@gmail.com,(682)680-2641,Active
MBR-000222,Deborah,Adams,11/21/2020,Benbrook,TX,530.0,deborah.adams624@gmail.com,N/A,Active
MBR-000223,Jacob,Moore,05/10/2018,Fort Worth,TX,734.0,jacob.moore346@gmail.com,(214)418-5593,Active
MBR-000224,Michelle,Moore,05/08/2019,White Settlement,TX,550.0,michelle.moore662@yahoo.com,(972)316-7671,Active
MBR-000225,Nicholas,Sanchez,01/16/2013,Haltom City,TX,642.0,nicholas.sanchez901@gmail.com,(682)297-4288,Inactive
MBR-000226,Nicholas,Sanchez,04/02/2024,Denton,TX,767.0,nicholas.sanchez698@yahoo.com,(214)600-8308,Active
MBR-000227,Barbara,Jackson,08/13/2010,Bedford,TX,685.0,barbara.jackson51@yahoo.com,(682)977-4626,Active
MBR-000228,Mary,Walker,12/19/2012,Granbury,TX,593.0,mary.walker616@gmail.com,(682)358-6004,Active
